Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Seeing Blind,"Niall Horan, Maren Morris",Flicker (Deluxe),Niall Horan,2017-10-20,https://i.scdn.co/image/ab67616d0000b2735bac234d5511248b248caf36,185280
If I Can t Have You,Shawn Mendes,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563,191466
One Way or Another (Teenage Kicks),One Direction,One Way Or Another (Teenage Kicks),One Direction,2013-02-17,https://i.scdn.co/image/ab67616d0000b2732288e51936a9fdde73d22904,157293
We Will Rock You,Nickelback,Photograph,Nickelback,2005,https://i.scdn.co/image/ab67616d0000b273534d161ce7aba869f0810ffd,119786
Infinity,Jaymes Young,Feel Something,Jaymes Young,2017-06-23,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f,237720
Right Now,One Direction,Midnight Memories (Deluxe),One Direction,2013-11-25,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,200400
Moments,One Direction,Up All Night,One Direction,2012-05-25,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,262640
Moral of the Story,Ashe,Moral of the Story,Ashe,2019-02-14,https://i.scdn.co/image/ab67616d0000b273aea0d98794e91056c608e069,201083
Moral of the Story (feat. Niall Horan),"Ashe, Niall Horan",Moral of the Story (feat. Niall Horan),"Ashe, Niall Horan",2020-06-17,https://i.scdn.co/image/ab67616d0000b273a987515783d010661bfd631e,198515
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS",2022-11-20,https://i.scdn.co/image/ab67616d0000b273ef57183066d6cac0cabb85c6,201391
Mine,Taylor Swift,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,https://i.scdn.co/image/ab67616d0000b273e1bc852a04501952c765d5cd,230773
Levitating,Dua Lipa,Future Nostalgia,Dua Lipa,2020-03-27,https://i.scdn.co/image/ab67616d0000b273383ed92279639a6b02e23ba3,203807
"C mon, C mon",One Direction,Take Me Home (Expanded Edition),One Direction,2012-11-12,https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf,164680
Miss You,Louis Tomlinson,Miss You,Louis Tomlinson,2017-12-01,https://i.scdn.co/image/ab67616d0000b273a36a14b068880028feb21360,182026
TiK ToK,Kesha,Animal (Expanded Edition),Kesha,2010-01-01,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,199693
Daydream,Lily Meola,Daydream,Lily Meola,2021-08-27,https://i.scdn.co/image/ab67616d0000b273d172101d8d03c64e461642b9,189672
The Nights,Avicii,The Days / Nights,Avicii,2014-01-01,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,176658
